ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
515,ODI # 1969,50,78,52,8,1,96.15,2,caught,1,-1,-,-,-,-,-,2,1,2,ODI v England,Durban,26-Feb-03,50
516,ODI # 1975,98,145,75,12,1,130.66,1,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Pakistan,Centurion,01-Mar-03,98
517,ODI # 1983,5,21,12,1,0,41.66,2,caught,2,-1,-,-,-,-,-,1,1,1,ODI v Kenya,Cape Town,07-Mar-03,5
518,ODI # 1985,97,160,120,7,1,80.83,1,caught,1,-1,-,-,-,-,-,2,1,2,ODI v Sri Lanka,Johannesburg,10-Mar-03,97
519,ODI # 1988,15,25,16,3,0,93.75,2,caught,2,5,0,20,0,4,6,1,1,1,ODI v New Zealand,Centurion,14-Mar-03,15
520,ODI # 1992,83,166,101,5,1,82.17,2,caught,1,6,0,28,2,4.66,7,2,0,2,ODI v Kenya,Durban,20-Mar-03,83
521,ODI # 1993,4,2,5,1,0,80,1,caught,2,3,0,20,0,6.66,6,1,0,1,ODI v Australia,Johannesburg,23-Mar-03,4
522,Test # 1660,8,54,38,1,0,21.05,4,caught,1,3,2,5,0,1.66,6,2,0,2,Test v New Zealand,Ahmedabad,08-Oct-03,8
523,Test # 1660,7,19,15,0,0,46.66,4,caught,3,7,0,40,0,5.71,5,4,0,4,Test v New Zealand,Ahmedabad,08-Oct-03,7
524,Test # 1662,55,238,175,6,0,31.42,4,caught,2,22,3,55,1,2.5,3,1,0,1,Test v New Zealand,Mohali,16-Oct-03,55
525,Test # 1662,1,15,10,0,0,10,4,bowled,3,-1,-,-,-,-,-,3,0,3,Test v New Zealand,Mohali,16-Oct-03,1
526,ODI # 2051,48,119,66,5,0,72.72,2,not out,1,TDNB,-,-,-,-,-,-,-,-,ODI v New Zealand,Chennai,23-Oct-03,48
527,ODI # 2052,100,158,119,9,1,84.03,2,caught,1,6,0,39,1,6.5,5,2,0,2,ODI v Australia,Gwalior,26-Oct-03,100
528,ODI # 2054,68,113,76,10,0,89.47,2,bowled,2,4,0,21,0,5.25,6,1,0,1,ODI v Australia,Wankhede,01-Nov-03,68
529,ODI # 2056,14,29,14,3,0,100,2,lbw,1,3,0,25,0,8.33,5,2,0,2,ODI v New Zealand,Cuttack,06-Nov-03,14
530,ODI # 2061,89,133,91,12,1,97.8,2,bowled,2,-1,-,-,-,-,-,1,0,1,ODI v Australia,Bengaluru,12-Nov-03,89
531,ODI # 2062,102,124,91,12,1,112.08,2,caught,1,8,0,40,0,5,3,2,0,2,ODI v New Zealand,Hyderabad (Deccan),15-Nov-03,102
532,ODI # 2064,45,104,66,5,0,68.18,1,bowled,2,-1,-,-,-,-,-,1,0,1,ODI v Australia,Eden Gardens,18-Nov-03,45
533,Test # 1671,0,3,3,0,0,0,4,lbw,2,-1,-,-,-,-,-,1,0,1,Test v Australia,Brisbane,04-Dec-03,0
534,Test # 1671,-1,-,-,-,-,-,-,-,4,2,0,9,0,4.5,5,3,0,3,Test v Australia,Brisbane,04-Dec-03,-1
535,Test # 1673,1,15,6,0,0,16.66,4,caught,2,1,0,3,0,3,6,1,0,1,Test v Australia,Adelaide,12-Dec-03,1
536,Test # 1673,37,79,59,5,0,62.71,4,lbw,4,6,0,36,2,6,5,3,0,3,Test v Australia,Adelaide,12-Dec-03,37
537,Test # 1678,0,3,1,0,0,0,4,caught,1,13,0,57,1,4.38,5,2,2,2,Test v Australia,Melbourne,26-Dec-03,0
538,Test # 1678,44,107,79,5,0,55.69,5,caught,3,-1,-,-,-,-,-,4,0,4,Test v Australia,Melbourne,26-Dec-03,44
539,Test # 1680,241,613,436,33,0,55.27,4,not out,1,-1,-,-,-,-,-,2,0,2,Test v Australia,Sydney,02-Jan-04,241
540,Test # 1680,60,108,89,5,0,67.41,4,not out,3,6,0,36,0,6,5,4,1,4,Test v Australia,Sydney,02-Jan-04,60
541,ODI # 2077,63,117,69,8,1,91.3,2,caught,2,-1,-,-,-,-,-,1,1,1,ODI v Australia,Melbourne,09-Jan-04,63
542,ODI # 2080,44,107,59,6,0,74.57,2,bowled,2,-1,-,-,-,-,-,1,0,1,ODI v Zimbabwe,Hobart,14-Jan-04,44
543,ODI # 2084,86,129,95,8,0,90.52,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Australia,Brisbane,18-Jan-04,86
544,ODI # 2093,5,17,6,1,0,83.33,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Australia,W.A.C.A,01-Feb-04,5
545,ODI # 2095,3,16,8,0,0,37.5,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Zimbabwe,W.A.C.A,03-Feb-04,3
546,ODI # 2097,8,28,22,1,0,36.36,2,bowled,1,-1,-,-,-,-,-,2,1,2,ODI v Australia,Melbourne,06-Feb-04,8
547,ODI # 2098,27,38,40,4,0,67.5,2,caught,2,8,0,60,1,7.5,7,1,0,1,ODI v Australia,Sydney,08-Feb-04,27
548,ODI # 2112,28,49,35,4,1,80,2,caught,1,3,0,34,0,11.33,6,2,0,2,ODI v Pakistan,Karachi,13-Mar-04,28
549,ODI # 2114,141,173,135,17,1,104.44,2,caught,2,6,0,45,0,7.5,7,1,0,1,ODI v Pakistan,Rawalpindi,16-Mar-04,141
550,ODI # 2115,0,7,5,0,0,0,2,caught,1,8,1,31,1,3.87,6,2,0,2,ODI v Pakistan,Peshawar,19-Mar-04,0
551,ODI # 2116,7,22,13,1,0,53.84,2,caught,2,8,0,48,1,6,5,1,0,1,ODI v Pakistan,Lahore,21-Mar-04,7
552,ODI # 2117,37,60,48,7,0,77.08,2,caught,1,5,0,27,0,5.4,5,2,1,2,ODI v Pakistan,Lahore,24-Mar-04,37
553,Test # 1693,194,493,348,21,0,55.74,4,not out,1,14,1,36,2,2.57,6,2,1,2,Test v Pakistan,Multan,28-Mar-04,194
554,Test # 1693,-1,-,-,-,-,-,-,-,3,6,2,23,0,3.83,6,3,0,3,Test v Pakistan,Multan,28-Mar-04,-1
555,Test # 1695,2,10,6,0,0,33.33,4,lbw,1,12,1,38,1,3.16,5,2,0,2,Test v Pakistan,Lahore,05-Apr-04,2
556,Test # 1695,8,17,11,1,0,72.72,4,lbw,3,-1,-,-,-,-,-,4,0,4,Test v Pakistan,Lahore,05-Apr-04,8
557,Test # 1697,1,6,3,0,0,33.33,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v Pakistan,Rawalpindi,13-Apr-04,1
558,Test # 1697,-1,-,-,-,-,-,-,-,4,1,0,1,1,1,6,3,0,3,Test v Pakistan,Rawalpindi,13-Apr-04,-1
559,ODI # 2144,18,39,25,2,0,72,2,caught,1,4,0,21,3,5.25,5,2,0,2,ODI v U.A.E.,Dambulla,16-Jul-04,18
560,ODI # 2148,11,17,13,2,0,84.61,1,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Sri Lanka,Dambulla,18-Jul-04,11
561,ODI # 2149,82,157,126,10,1,65.07,2,not out,2,10,0,35,3,3.5,5,1,0,1,ODI v Bangladesh,Colombo (SSC),21-Jul-04,82
562,ODI # 2152,78,192,103,6,0,75.72,2,caught,2,5,0,28,3,5.6,6,1,0,1,ODI v Pakistan,Colombo (RPS),25-Jul-04,78
563,ODI # 2153,18,30,21,3,0,85.71,1,lbw,1,3,0,23,1,7.66,6,2,1,2,ODI v Sri Lanka,Colombo (RPS),27-Jul-04,18
564,ODI # 2155,74,170,100,7,1,74,2,bowled,2,10,0,40,2,4,6,1,0,1,ODI v Sri Lanka,Colombo (RPS),01-Aug-04,74
565,Test # 1718,8,49,36,0,0,22.22,4,lbw,2,6,1,29,0,4.83,5,1,0,1,Test v Australia,Nagpur,26-Oct-04,8
566,Test # 1718,2,18,14,0,0,14.28,4,caught,4,8,1,12,0,1.5,4,3,0,3,Test v Australia,Nagpur,26-Oct-04,2
567,Test # 1720,5,43,35,0,0,14.28,4,caught,1,-1,-,-,-,-,-,2,0,2,Test v Australia,Wankhede,03-Nov-04,5
568,Test # 1720,55,120,83,6,1,66.26,4,caught,3,-1,-,-,-,-,-,4,1,4,Test v Australia,Wankhede,03-Nov-04,55
569,ODI # 2192,16,30,17,2,0,94.11,2,run out,1,1,0,15,0,15,6,2,0,2,ODI v Pakistan,Eden Gardens,13-Nov-04,16
570,Test # 1722,3,21,18,0,0,16.66,4,bowled,2,9,0,36,0,4,6,1,0,1,Test v South Africa,Kanpur,20-Nov-04,3
571,Test # 1722,-1,-,-,-,-,-,-,-,4,5,0,18,0,3.6,5,3,0,3,Test v South Africa,Kanpur,20-Nov-04,-1
572,Test # 1724,20,82,54,3,0,37.03,4,bowled,2,3,0,8,0,2.66,6,1,0,1,Test v South Africa,Eden Gardens,28-Nov-04,20
573,Test # 1724,32,73,64,3,1,50,4,not out,4,-1,-,-,-,-,-,3,0,3,Test v South Africa,Eden Gardens,28-Nov-04,32
574,Test # 1725,248,552,379,35,0,65.43,4,not out,2,-1,-,-,-,-,-,1,1,1,Test v Bangladesh,Dhaka,10-Dec-04,248
575,Test # 1725,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,1,3,Test v Bangladesh,Dhaka,10-Dec-04,-1
576,Test # 1727,36,79,55,6,0,65.45,4,lbw,1,2,0,12,0,6,5,2,0,2,Test v Bangladesh,Chattogram,17-Dec-04,36
577,Test # 1727,-1,-,-,-,-,-,-,-,3,3,0,27,1,9,5,3,0,3,Test v Bangladesh,Chattogram,17-Dec-04,-1
578,ODI # 2199,19,46,32,3,0,59.37,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Bangladesh,Chattogram,23-Dec-04,19
579,ODI # 2202,47,60,42,9,0,111.9,2,caught,1,9,2,54,4,6,7,2,0,2,ODI v Bangladesh,Dhaka,27-Dec-04,47
580,Test # 1738,94,301,202,11,0,46.53,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v Pakistan,Mohali,08-Mar-05,94
581,Test # 1738,-1,-,-,-,-,-,-,-,4,8,0,30,0,3.75,5,3,0,3,Test v Pakistan,Mohali,08-Mar-05,-1
582,Test # 1741,52,147,102,9,0,50.98,4,caught,1,-1,-,-,-,-,-,2,2,2,Test v Pakistan,Eden Gardens,16-Mar-05,52
583,Test # 1741,52,117,91,9,0,57.14,4,caught,3,-1,-,-,-,-,-,4,0,4,Test v Pakistan,Eden Gardens,16-Mar-05,52
584,Test # 1743,41,78,71,7,0,57.74,4,caught,2,3,0,14,0,4.66,5,1,0,1,Test v Pakistan,Bengaluru,24-Mar-05,41
585,Test # 1743,16,140,98,2,0,16.32,4,caught,4,15,1,62,1,4.13,4,3,0,3,Test v Pakistan,Bengaluru,24-Mar-05,16
586,ODI # 2235,4,8,4,1,0,100,2,caught,1,10,1,50,5,5,5,2,1,2,ODI v Pakistan,Kochi,02-Apr-05,4
587,ODI # 2236,2,17,8,0,0,25,2,run out,1,7,0,44,0,6.28,4,2,0,2,ODI v Pakistan,Visakhapatnam,05-Apr-05,2
588,ODI # 2237,6,15,11,1,0,54.54,2,caught,2,4,0,25,0,6.25,5,1,1,1,ODI v Pakistan,Jamshedpur,09-Apr-05,6
589,ODI # 2238,123,192,130,12,2,94.61,2,bowled,1,6,0,36,1,6,7,2,1,2,ODI v Pakistan,Ahmedabad,12-Apr-05,123
590,ODI # 2239,1,13,10,0,0,10,2,caught,1,3,0,20,1,6.66,6,2,0,2,ODI v Pakistan,Kanpur,15-Apr-05,1
591,ODI # 2240,9,38,15,0,0,60,2,bowled,2,5,0,24,0,4.8,6,1,0,1,ODI v Pakistan,Delhi,17-Apr-05,9
592,ODI # 2286,93,149,96,9,2,96.87,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Sri Lanka,Nagpur,25-Oct-05,93
593,ODI # 2287,67,87,69,11,0,97.1,2,not out,2,-1,-,-,-,-,-,1,1,1,ODI v Sri Lanka,Mohali,28-Oct-05,67
594,ODI # 2290,2,2,3,0,0,66.66,2,caught,2,1,0,10,0,10,7,1,0,1,ODI v Sri Lanka,Jaipur,31-Oct-05,2
595,ODI # 2291,11,28,19,1,1,57.89,2,bowled,2,-1,-,-,-,-,-,1,1,1,ODI v Sri Lanka,Pune,03-Nov-05,11
596,ODI # 2295,19,46,30,3,0,63.33,2,caught,2,-1,-,-,-,-,-,1,1,1,ODI v Sri Lanka,Rajkot,09-Nov-05,19
597,ODI # 2296,39,76,48,8,0,81.25,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Sri Lanka,Vadodara,12-Nov-05,39
598,ODI # 2297,2,20,9,0,0,22.22,2,caught,1,8,0,43,1,5.37,6,2,0,2,ODI v South Africa,Hyderabad,16-Nov-05,2
599,ODI # 2298,2,31,22,0,0,9.09,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v South Africa,Bengaluru,19-Nov-05,2
600,ODI # 2299,2,18,15,0,0,13.33,3,caught,1,-1,-,-,-,-,-,2,0,2,ODI v South Africa,Eden Gardens,25-Nov-05,2
601,ODI # 2300,30,77,44,5,0,68.18,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v South Africa,Wankhede,28-Nov-05,30
602,Test # 1775,22,157,126,2,0,17.46,4,lbw,1,-1,-,-,-,-,-,2,0,2,Test v Sri Lanka,Chennai,02-Dec-05,22
603,Test # 1775,-1,-,-,-,-,-,-,-,3,-1,-,-,-,-,-,4,0,4,Test v Sri Lanka,Chennai,02-Dec-05,-1
604,Test # 1776,109,310,196,14,1,55.61,4,lbw,1,2,0,6,0,3,5,2,0,2,Test v Sri Lanka,Delhi,10-Dec-05,109
605,Test # 1776,16,42,28,3,0,57.14,4,lbw,3,-1,-,-,-,-,-,4,0,4,Test v Sri Lanka,Delhi,10-Dec-05,16
606,Test # 1778,23,85,66,2,0,34.84,4,caught,1,-1,-,-,-,-,-,2,0,2,Test v Sri Lanka,Ahmedabad,18-Dec-05,23
607,Test # 1778,19,40,29,3,0,65.51,4,lbw,3,4,0,13,0,3.25,6,4,0,4,Test v Sri Lanka,Ahmedabad,18-Dec-05,19
608,Test # 1781,-1,-,-,-,-,-,-,-,2,2,0,16,0,8,7,1,0,1,Test v Pakistan,Lahore,13-Jan-06,-1
609,Test # 1781,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v Pakistan,Lahore,13-Jan-06,-1
610,Test # 1782,14,64,33,3,0,42.42,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v Pakistan,Faisalabad,21-Jan-06,14
611,Test # 1782,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,1,3,Test v Pakistan,Faisalabad,21-Jan-06,-1
612,Test # 1783,23,49,29,5,0,79.31,4,bowled,2,-1,-,-,-,-,-,1,0,1,Test v Pakistan,Karachi,29-Jan-06,23
613,Test # 1783,26,74,47,5,0,55.31,4,bowled,4,9,0,40,0,4.44,7,3,3,3,Test v Pakistan,Karachi,29-Jan-06,26
614,ODI # 2324,100,188,113,10,1,88.49,2,lbw,1,-1,-,-,-,-,-,2,0,2,ODI v Pakistan,Peshawar,06-Feb-06,100
615,ODI # 2327,42,71,43,8,0,97.67,2,caught,2,7,0,45,0,6.42,5,1,0,1,ODI v Pakistan,Rawalpindi,11-Feb-06,42
616,ODI # 2329,95,157,104,16,1,91.34,2,caught,2,10,0,52,1,5.2,5,1,0,1,ODI v Pakistan,Lahore,13-Feb-06,95
617,ODI # 2331,0,7,3,0,0,0,2,caught,2,9,0,27,1,3,5,1,0,1,ODI v Pakistan,Multan,16-Feb-06,0
618,Test # 1785,16,84,45,2,0,35.55,4,lbw,2,2,0,11,0,5.5,5,1,0,1,Test v England,Nagpur,01-Mar-06,16
619,Test # 1785,28,38,19,5,0,147.36,6,not out,4,-1,-,-,-,-,-,3,0,3,Test v England,Nagpur,01-Mar-06,28
620,Test # 1788,4,20,15,0,0,26.66,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v England,Mohali,09-Mar-06,4
621,Test # 1788,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v England,Mohali,09-Mar-06,-1
622,Test # 1791,1,33,21,0,0,4.76,4,caught,2,-1,-,-,-,-,-,1,1,1,Test v England,Wankhede,18-Mar-06,1
623,Test # 1791,34,77,57,5,0,59.64,5,caught,4,-1,-,-,-,-,-,3,0,3,Test v England,Wankhede,18-Mar-06,34
624,ODI # 2405,2,16,3,0,0,66.66,2,not out,1,TDNB,-,-,-,-,-,-,-,-,ODI v Sri Lanka,Colombo (SSC),18-Aug-06,2
625,ODI # 2414,141,-,148,13,5,95.27,2,not out,1,-1,-,-,-,-,-,2,0,2,ODI v West Indies,Kuala Lumpur,14-Sep-06,141
626,ODI # 2416,12,30,17,2,0,70.58,2,caught,2,-1,-,-,-,-,-,1,1,1,ODI v Australia,Kuala Lumpur,16-Sep-06,12
627,ODI # 2419,65,154,102,7,0,63.72,2,run out,1,-1,-,-,-,-,-,2,0,2,ODI v West Indies,Kuala Lumpur,20-Sep-06,65
628,ODI # 2421,4,11,10,1,0,40,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Australia,Kuala Lumpur,22-Sep-06,4
629,ODI # 2429,35,87,41,5,0,85.36,2,lbw,2,-1,-,-,-,-,-,1,1,1,ODI v England,Jaipur,15-Oct-06,35
630,ODI # 2437,29,81,45,4,0,64.44,2,bowled,1,-1,-,-,-,-,-,2,0,2,ODI v West Indies,Ahmedabad,26-Oct-06,29
631,ODI # 2440,10,46,26,2,0,38.46,2,caught,1,-1,-,-,-,-,-,2,1,2,ODI v Australia,Mohali,29-Oct-06,10
632,ODI # 2447,35,79,51,5,0,68.62,2,bowled,2,9,1,33,0,3.66,4,1,1,1,ODI v South Africa,Durban,22-Nov-06,35
633,ODI # 2449,2,20,9,0,0,22.22,2,caught,2,3,0,13,0,4.33,6,1,2,1,ODI v South Africa,Cape Town,26-Nov-06,2
634,ODI # 2452,1,4,3,0,0,33.33,3,caught,2,8,0,46,1,5.75,7,1,0,1,ODI v South Africa,Gqeberha,29-Nov-06,1
635,T20I # 10,10,18,12,2,0,83.33,2,bowled,2,2.3,0,12,1,4.8,5,1,1,1,T20I v South Africa,Johannesburg,01-Dec-06,10
636,ODI # 2458,55,134,97,8,0,56.7,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v South Africa,Centurion,03-Dec-06,55
637,Test # 1823,44,113,89,7,0,49.43,4,caught,1,-1,-,-,-,-,-,2,0,2,Test v South Africa,Johannesburg,15-Dec-06,44
638,Test # 1823,14,43,22,3,0,63.63,4,bowled,3,-1,-,-,-,-,-,4,1,4,Test v South Africa,Johannesburg,15-Dec-06,14
639,Test # 1825,63,173,115,11,0,54.78,4,caught,2,-1,-,-,-,-,-,1,2,1,Test v South Africa,Durban,26-Dec-06,63
640,Test # 1825,0,13,7,0,0,0,4,lbw,4,-1,-,-,-,-,-,3,0,3,Test v South Africa,Durban,26-Dec-06,0
641,Test # 1827,64,187,130,11,0,49.23,4,caught,1,10,2,30,1,3,6,2,0,2,Test v South Africa,Cape Town,02-Jan-07,64
642,Test # 1827,14,88,62,1,0,22.58,5,lbw,3,3.1,2,3,0,0.94,6,4,0,4,Test v South Africa,Cape Town,02-Jan-07,14
643,ODI # 2480,31,54,38,3,0,81.57,3,lbw,1,10,0,54,1,5.4,5,2,0,2,ODI v West Indies,Nagpur,21-Jan-07,31
644,ODI # 2485,0,6,6,0,0,0,4,caught,1,8,0,25,2,3.12,6,2,0,2,ODI v West Indies,Cuttack,24-Jan-07,0
645,ODI # 2487,60,112,66,2,0,90.9,4,caught,1,5,0,33,0,6.6,5,2,0,2,ODI v West Indies,Chennai,27-Jan-07,60
646,ODI # 2493,100,110,76,10,1,131.57,4,not out,1,-1,-,-,-,-,-,2,0,2,ODI v West Indies,Vadodara,31-Jan-07,100
647,ODI # 2514,TDNB,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,1,0,1,ODI v Sri Lanka,Eden Gardens,08-Feb-07,TDNB
648,ODI # 2520,54,94,61,9,0,88.52,4,stumped,2,9,0,41,1,4.55,6,1,1,1,ODI v Sri Lanka,Rajkot,11-Feb-07,54
649,ODI # 2522,1,13,8,0,0,12.5,3,bowled,2,4,0,33,0,8.25,5,1,1,1,ODI v Sri Lanka,Margao,14-Feb-07,1
650,ODI # 2538,7,40,26,1,0,26.92,4,caught,1,3,0,8,0,2.66,5,2,0,2,ODI v Bangladesh,Port of Spain,17-Mar-07,7
651,ODI # 2542,57,46,29,2,4,196.55,6,not out,1,1,0,1,1,1,6,2,0,2,ODI v Bermuda,Port of Spain,19-Mar-07,57
652,ODI # 2550,0,5,3,0,0,0,4,bowled,2,8,0,40,1,5,6,1,0,1,ODI v Sri Lanka,Port of Spain,23-Mar-07,0
653,Test # 1832,101,274,169,9,0,59.76,4,caught,1,4,0,15,1,3.75,5,2,2,2,Test v Bangladesh,Chattogram,18-May-07,101
654,Test # 1832,31,69,50,2,0,62,4,bowled,3,3,0,7,0,2.33,5,4,0,4,Test v Bangladesh,Chattogram,18-May-07,31
655,Test # 1833,122,354,226,8,1,53.98,4,not out,1,-1,-,-,-,-,-,2,0,2,Test v Bangladesh,Mirpur,25-May-07,122
656,Test # 1833,-1,-,-,-,-,-,-,-,3,6.3,1,35,2,5.38,6,3,2,3,Test v Bangladesh,Mirpur,25-May-07,-1
657,ODI # 2590,4,4,3,1,0,133.33,2,bowled,2,4,0,24,1,6,6,1,0,1,ODI v Ireland,Belfast,23-Jun-07,4
658,ODI # 2592,99,199,143,12,0,69.23,2,run out,1,-1,-,-,-,-,-,2,1,2,ODI v South Africa,Belfast,26-Jun-07,99
659,ODI # 2593,93,140,106,13,2,87.73,2,bowled,2,1,0,10,0,10,6,1,0,1,ODI v South Africa,Belfast,29-Jun-07,93
660,ODI # 2595,8,10,8,2,0,100,2,caught,2,1,0,10,2,10,7,1,0,1,ODI v South Africa,Belfast,01-Jul-07,8
661,Test # 1840,37,104,78,6,0,47.43,4,lbw,2,2,0,8,0,4,6,1,0,1,Test v England,Lord's,19-Jul-07,37
662,Test # 1840,16,42,35,3,0,45.71,4,lbw,4,1,0,2,0,2,5,3,1,3,Test v England,Lord's,19-Jul-07,16
663,Test # 1841,91,259,197,12,0,46.19,4,lbw,2,2,0,9,0,4.5,6,1,2,1,Test v England,Nottingham,27-Jul-07,91
664,Test # 1841,1,17,15,0,0,6.66,4,caught,4,7,0,29,0,4.14,6,3,0,3,Test v England,Nottingham,27-Jul-07,1
665,Test # 1842,82,298,192,11,0,42.7,4,caught,1,7,0,26,1,3.71,6,2,1,2,Test v England,The Oval,09-Aug-07,82
666,Test # 1842,1,13,11,0,0,9.09,4,bowled,3,19,0,78,0,4.1,5,4,0,4,Test v England,The Oval,09-Aug-07,1
667,ODI # 2611,17,52,33,1,0,51.51,2,caught,2,4,0,29,0,7.25,6,1,0,1,ODI v England,Southampton,21-Aug-07,17
668,ODI # 2613,99,158,112,15,1,88.39,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v England,Bristol,24-Aug-07,99
669,ODI # 2616,8,42,19,1,0,42.1,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v England,Birmingham,27-Aug-07,8
670,ODI # 2617,55,128,86,9,0,63.95,2,caught,1,1,0,4,0,4,7,2,0,2,ODI v England,Manchester,30-Aug-07,55
671,ODI # 2618,71,87,59,13,0,120.33,2,caught,1,5,0,35,0,7,5,2,0,2,ODI v England,Leeds,02-Sep-07,71
672,ODI # 2619,94,120,81,16,1,116.04,2,caught,2,1,0,12,0,12,7,1,0,1,ODI v England,The Oval,05-Sep-07,94
673,ODI # 2620,30,80,46,4,0,65.21,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v England,Lord's,08-Sep-07,30
674,ODI # 2621,0,9,6,0,0,0,2,lbw,2,-1,-,-,-,-,-,1,1,1,ODI v Australia,Bengaluru,29-Sep-07,0
675,ODI # 2623,16,43,25,1,1,64,2,caught,2,3,0,22,0,7.33,6,1,1,1,ODI v Australia,Kochi,02-Oct-07,16
676,ODI # 2625,43,119,71,6,0,60.56,2,bowled,2,4,0,22,0,5.5,6,1,0,1,ODI v Australia,Hyderabad,05-Oct-07,43
677,ODI # 2627,79,184,119,7,0,66.38,2,run out,1,-1,-,-,-,-,-,2,0,2,ODI v Australia,Chandigarh,08-Oct-07,79
678,ODI # 2629,47,128,73,9,0,64.38,2,caught,1,2,0,11,0,5.5,6,2,0,2,ODI v Australia,Vadodara,11-Oct-07,47
679,ODI # 2631,72,105,72,9,1,100,2,stumped,2,5,0,20,0,4,7,1,1,1,ODI v Australia,Nagpur,14-Oct-07,72
680,ODI # 2632,21,52,36,4,0,58.33,2,bowled,2,-1,-,-,-,-,-,1,1,1,ODI v Australia,Wankhede,17-Oct-07,21
681,ODI # 2643,4,14,7,1,0,57.14,2,lbw,2,5,0,32,2,6.4,6,1,0,1,ODI v Pakistan,Guwahati,05-Nov-07,4
682,ODI # 2644,99,130,91,14,1,108.79,2,caught,1,1,0,11,0,11,6,2,0,2,ODI v Pakistan,Mohali,08-Nov-07,99
683,ODI # 2645,29,54,27,5,0,107.4,2,caught,1,1,0,11,0,11,7,2,0,2,ODI v Pakistan,Kanpur,11-Nov-07,29
684,ODI # 2646,97,149,102,16,0,95.09,2,bowled,2,-1,-,-,-,-,-,1,0,1,ODI v Pakistan,Gwalior,15-Nov-07,97
685,ODI # 2647,30,54,27,6,0,111.11,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Pakistan,Jaipur,18-Nov-07,30
686,Test # 1849,1,2,1,0,0,100,4,run out,2,2,0,4,0,2,6,1,0,1,Test v Pakistan,Delhi,22-Nov-07,1
687,Test # 1849,56,178,110,9,0,50.9,4,not out,4,2,0,4,0,2,6,3,0,3,Test v Pakistan,Delhi,22-Nov-07,56
